"uav0000070_02088_s (AOS=0.0, TL=217)",,"uav0000070_04877_s (AOS=0.0, TL=332)",,"uav0000071_00816_s (AOS=0.0, TL=505)",,"uav0000071_01536_s (AOS=0.0, TL=481)",,"uav0000071_02520_s (AOS=0.0, TL=0)",,"uav0000072_02544_s (AOS=0.026951513083469644, TL=69)",,"uav0000072_03792_s (AOS=0.0, TL=0)",,"uav0000072_04680_s (AOS=0.0, TL=0)",,"uav0000072_06672_s (AOS=0.0, TL=0)",,"uav0000072_08448_s (AOS=0.0, TL=0)",,"uav0000076_00241_s (AOS=0.002140951475714305, TL=0)",,"uav0000080_01680_s (AOS=0.0681614763886783, TL=147)",,"uav0000084_00000_s (AOS=0.2042337560930491, TL=0)",,"uav0000084_00812_s (AOS=0.0, TL=0)",,"uav0000085_00000_s (AOS=4.086615287084724e-05, TL=0)",,"uav0000089_00920_s (AOS=0.09440746684132514, TL=183)",,"uav0000090_00276_s (AOS=0.0, TL=415)",,"uav0000090_01104_s (AOS=0.0, TL=737)",,"uav0000091_00460_s (AOS=0.10399369314778228, TL=98)",,"uav0000091_01035_s (AOS=0.39503256354537264, TL=208)",,"uav0000091_01288_s (AOS=0.05366354725228362, TL=154)",,"uav0000091_02530_s (AOS=0.0, TL=0)",,"uav0000099_02520_s (AOS=0.0, TL=1041)",,"uav0000107_01763_s (AOS=0.0, TL=0)",,"uav0000126_07915_s (AOS=0.0, TL=630)",,"uav0000144_01980_s (AOS=0.04564414338052968, TL=6)",,"uav0000144_03200_s (AOS=0.0220848100159242, TL=0)",,"uav0000147_00000_s (AOS=0.0, TL=0)",,"uav0000148_00840_s (AOS=0.0, TL=807)",,"uav0000149_00317_s (AOS=0.0, TL=2341)",,"uav0000159_00000_s (AOS=0.07960135286826928, TL=49)",,"uav0000160_00000_s (AOS=0.08658734673051158, TL=490)",,"uav0000169_00000_s (AOS=0.13657983207142027, TL=293)",,"uav0000170_00000_s (AOS=0.0, TL=0)",
IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.30812543175226,0.2612481857764877,8.54400374531753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1452406472358175,90.4267659490264,0.42369374030005175,7.0710678118654755,0.12383591514105301,68.0,0.0,0.0,0.0,0.0,0.09307135470527404,16.1245154965971,0.0,0.0,0.0,0.0,0.3793103448275862,4.0,0.631578947368421,2.0,0.2801724137931034,7.211102550927978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7390898171626852,12.36931687685298,0.06223175965665236,80.62257748298549,0.0,0.0,0.0,0.0,0.0,0.0,0.3697253851306095,6.324555320336759,0.5618427641462194,13.601470508735444,0.6595744680851063,8.246211251235321,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.26037828369117,0.2612481857764877,8.54400374531753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15916794262756337,84.30895563343196,0.46062992125984253,6.324555320336759,0.12294786216850082,68.47627326307996,0.0,0.0,0.0,0.0,0.12,15.231546211727817,0.0,0.0,0.0,0.0,0.3793103448275862,4.0,0.631578947368421,2.0,0.25316455696202533,7.810249675906654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6606346374410603,12.529964086141668,0.06720268006700167,80.23091673413684,0.0,0.0,0.0,0.0,0.0,0.0,0.37551020408163266,6.324555320336759,0.5541353383458647,13.601470508735444,0.5918367346938775,10.198039027185569,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.21395872616783,0.2612481857764877,8.94427190999916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17894293788707835,75.0,0.4838709677419355,5.385164807134504,0.1173690078037904,70.32780389006896,0.0,0.0,0.0,0.0,0.16666666666666666,13.416407864998739,0.0,0.0,0.0,0.0,0.3793103448275862,4.0,0.631578947368421,2.0,0.25316455696202533,7.810249675906654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10581603894440174,64.5600495662759,0.07143818108435356,79.30952023559341,0.0,0.0,0.0,0.0,0.0,0.0,0.3697253851306095,7.280109889280518,0.5466867469879518,13.892443989449804,0.625,9.219544457292887,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.16881339463234,0.2612481857764877,8.94427190999916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20794000275216734,69.0,0.5018686599038975,6.0,0.11572791628193291,71.34423592694787,0.0,0.0,0.0,0.0,0.13968957871396895,15.264337522473747,0.0,0.0,0.0,0.0,0.3452914798206278,4.123105625617661,0.631578947368421,2.0,0.2857142857142857,7.0710678118654755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07661805228846025,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37551020408163266,7.280109889280518,0.5517416086130462,13.038404810405298,0.625,9.055385138137417,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.37574531137656,0.2612481857764877,9.433981132056603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21344045839561535,69.26037828369117,0.5081081081081081,6.0,0.11413208447161875,71.56116265125938,0.0,0.0,0.0,0.0,0.12646370023419204,13.92838827718412,0.0,0.0,0.0,0.0,0.3452914798206278,4.123105625617661,0.631578947368421,2.0,0.2857142857142857,7.0710678118654755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0718562874251497,78.92401408950256,0.0,0.0,0.0,0.0,0.0,0.0,0.37551020408163266,6.708203932499369,0.5441400304414004,13.038404810405298,0.6595744680851063,8.06225774829855,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.33034373659252,0.2612481857764877,10.816653826391969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21233565057076123,78.54934754662193,0.5,7.0710678118654755,0.11335055986218777,71.28113354878694,0.0,0.0,0.0,0.0,0.2025,10.770329614269007,0.0,0.0,0.0,0.0,0.30434782608695654,5.0990195135927845,0.631578947368421,3.0,0.2801724137931034,7.211102550927978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07523759239704329,78.92401408950256,0.0,0.0,0.0,0.0,0.0,0.0,0.37551020408163266,7.615773105863909,0.5625161456987858,11.661903789690601,0.6595744680851063,8.06225774829855,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.28612089887484,0.2612481857764877,10.816653826391969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20400272913350012,95.01578816175763,0.5063291139240507,7.0,0.12040990606319385,72.11102550927978,0.0,0.0,0.0,0.0,0.1125,15.652475842498529,0.0,0.0,0.0,0.0,0.3333333333333333,5.0,0.631578947368421,3.0,0.3170731707317073,6.4031242374328485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07996853696906135,78.54934754662193,0.0,0.0,0.0,0.0,0.0,0.0,0.37551020408163266,6.708203932499369,0.5625161456987858,11.661903789690601,0.6595744680851063,8.06225774829855,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.28612089887484,0.2612481857764877,10.816653826391969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21573660870416742,105.4229576515476,0.47668393782383417,8.06225774829855,0.11959287531806616,72.67048919609665,0.0,0.0,0.0,0.0,0.14893617021276595,13.038404810405298,0.0,0.0,0.0,0.0,0.3793103448275862,4.0,0.631578947368421,3.0,0.3170731707317073,6.4031242374328485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07900531019298018,79.47955712005447,0.0,0.0,0.0,0.0,0.0,0.0,0.37551020408163266,6.708203932499369,0.5681669928245271,11.180339887498949,0.6595744680851063,8.06225774829855,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.24303246854758,0.2612481857764877,11.661903789690601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4522096608427544,8.54400374531753,0.11799163179916318,73.00684899377592,0.0,0.0,0.0,0.0,0.10204081632653061,14.317821063276353,0.0,0.0,0.0,0.0,0.2903225806451613,6.0,0.631578947368421,3.0,0.3170731707317073,6.4031242374328485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08374067404167738,79.12016177940993,0.0,0.0,0.0,0.0,0.0,0.0,0.38147892190739463,6.708203932499369,0.5418163160595177,12.529964086141668,0.6595744680851063,8.06225774829855,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.20103626247513,0.2612481857764877,11.661903789690601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40216056960471397,11.180339887498949,0.12516644474034622,73.81734213584231,0.0,0.0,0.0,0.0,0.2,10.295630140987,0.0,0.0,0.0,0.0,0.3333333333333333,5.0,0.631578947368421,3.0,0.3170731707317073,6.4031242374328485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08701199285532024,79.12016177940993,0.0,0.0,0.0,0.0,0.0,0.0,0.37551020408163266,7.615773105863909,0.5418163160595177,12.529964086141668,0.6595744680851063,8.06225774829855,0.0,0.0
