Video,Runtime,Iterations
uav0000070_02088_s,8.753602743148804,216
uav0000070_04877_s,0.06753993034362793,1
uav0000071_00816_s,9.068670988082886,217
uav0000071_01536_s,0.0,0
uav0000071_02520_s,1.3763136863708496,32
uav0000072_02544_s,26.762538194656372,672
uav0000072_03792_s,11.655877828598022,288
uav0000072_04680_s,2.9360127449035645,70
uav0000072_06672_s,4.955902576446533,120
uav0000072_08448_s,5.863165378570557,144
uav0000076_00241_s,1.1483311653137207,18
uav0000080_01680_s,7.305267572402954,172
uav0000084_00000_s,1.0207316875457764,39
uav0000084_00812_s,1.8873262405395508,78
uav0000085_00000_s,0.34485697746276855,11
uav0000089_00920_s,52.42540788650513,1380
uav0000090_00276_s,0.22189044952392578,6
uav0000090_01104_s,7.852400302886963,322
uav0000091_00460_s,0.0,0
uav0000091_01035_s,5.861898183822632,167
uav0000091_01288_s,0.0,0
uav0000091_02530_s,0.0,0
uav0000099_02520_s,8.719003200531006,353
uav0000107_01763_s,4.1707823276519775,173
uav0000126_07915_s,21.665719509124756,248
uav0000144_01980_s,2.459648609161377,30
uav0000144_03200_s,14.722524642944336,180
uav0000147_00000_s,2.417965888977051,26
uav0000148_00840_s,68.18783807754517,806
uav0000149_00317_s,38.701677560806274,423
uav0000159_00000_s,9.949921607971191,400
uav0000160_00000_s,50.89925932884216,1950
uav0000169_00000_s,11.389205932617188,466
uav0000170_00000_s,35.2472186088562,1400
