Video,Runtime,Iterations
uav0000070_02088_s,10.963786363601685,216
uav0000070_04877_s,7.523477792739868,142
uav0000071_00816_s,12.032450675964355,257
uav0000071_01536_s,9.575307846069336,199
uav0000071_02520_s,5.99009370803833,132
uav0000072_02544_s,27.12729287147522,672
uav0000072_03792_s,5.072605848312378,108
uav0000072_04680_s,8.777085065841675,192
uav0000072_06672_s,4.022034406661987,92
uav0000072_08448_s,5.874326229095459,144
uav0000076_00241_s,1.358884334564209,13
uav0000080_01680_s,13.320485353469849,301
uav0000084_00000_s,15.848955154418945,540
uav0000084_00812_s,3.801966905593872,134
uav0000085_00000_s,1.782684564590454,49
uav0000089_00920_s,61.46091985702515,1380
uav0000090_00276_s,16.9227557182312,414
uav0000090_01104_s,19.552557468414307,736
uav0000091_00460_s,9.662500858306885,230
uav0000091_01035_s,8.53199577331543,207
uav0000091_01288_s,22.44463038444519,782
uav0000091_02530_s,6.916831970214844,230
uav0000099_02520_s,4.239988565444946,131
uav0000107_01763_s,2.396354913711548,73
uav0000126_07915_s,60.2043297290802,629
uav0000144_01980_s,6.486143589019775,81
uav0000144_03200_s,13.526508092880249,166
uav0000147_00000_s,210.26658034324646,2132
uav0000148_00840_s,74.70673274993896,806
uav0000149_00317_s,12.853797674179077,124
uav0000159_00000_s,10.91626524925232,391
uav0000160_00000_s,16.907588481903076,542
uav0000169_00000_s,10.158400535583496,344
uav0000170_00000_s,8.048234701156616,256
