"uav0000070_02088_s (AOS=0.0001500785705457563, TL=0)",,"uav0000070_04877_s (AOS=0.0027033625042912684, TL=0)",,"uav0000071_00816_s (AOS=0.005098817032423367, TL=0)",,"uav0000071_01536_s (AOS=0.004930269484408397, TL=0)",,"uav0000071_02520_s (AOS=0.011772373605373428, TL=0)",,"uav0000072_02544_s (AOS=0.0018178864230330924, TL=8)",,"uav0000072_03792_s (AOS=0.031635855022416906, TL=9)",,"uav0000072_04680_s (AOS=0.021325354492247338, TL=0)",,"uav0000072_06672_s (AOS=0.0, TL=0)",,"uav0000072_08448_s (AOS=0.0041435109272588205, TL=1)",,"uav0000076_00241_s (AOS=0.0, TL=0)",,"uav0000080_01680_s (AOS=0.0005904654848024262, TL=0)",,"uav0000084_00000_s (AOS=0.0005579839647580929, TL=0)",,"uav0000084_00812_s (AOS=0.00011283224609927871, TL=0)",,"uav0000085_00000_s (AOS=7.398673863427403e-05, TL=0)",,"uav0000089_00920_s (AOS=0.0038040016257235355, TL=29)",,"uav0000090_00276_s (AOS=0.08408829037716817, TL=105)",,"uav0000090_01104_s (AOS=0.04157541728696596, TL=112)",,"uav0000091_00460_s (AOS=0.02367241949145559, TL=80)",,"uav0000091_01035_s (AOS=0.019958897669156785, TL=70)",,"uav0000091_01288_s (AOS=0.03351556492066568, TL=87)",,"uav0000091_02530_s (AOS=0.5692833761680169, TL=231)",,"uav0000099_02520_s (AOS=2.380191138990203e-05, TL=0)",,"uav0000107_01763_s (AOS=0.23454514106732532, TL=139)",,"uav0000126_07915_s (AOS=4.5699661822502514e-06, TL=0)",,"uav0000144_01980_s (AOS=0.004277453130944811, TL=0)",,"uav0000144_03200_s (AOS=0.0005650629641588634, TL=0)",,"uav0000147_00000_s (AOS=0.0, TL=0)",,"uav0000148_00840_s (AOS=0.0015374300889192608, TL=5)",,"uav0000149_00317_s (AOS=0.013193210527476063, TL=0)",,"uav0000159_00000_s (AOS=1.2346136276652221e-05, TL=0)",,"uav0000160_00000_s (AOS=0.0016016774641554174, TL=0)",,"uav0000169_00000_s (AOS=0.003771705545309425, TL=0)",,"uav0000170_00000_s (AOS=0.035201670922411325, TL=6)",
IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors
0.032567049808429116,37.36308338453881,0.14988376361189282,34.655446902326915,0.35360946745562133,51.92301994298868,0.04410049825082158,53.907327887774215,0.05185589519650655,32.7566787083184,0.19672131147540983,12.529964086141668,0.3707865168539326,7.810249675906654,0.09523809523809523,44.654227123532216,0.0,31.38470965295043,0.12863070539419086,18.681541692269406,0.0,250.28783430282823,0.1407766990291262,29.206163733020468,0.11176818450620934,58.855755878248644,0.013357899585444496,27.018512172212592,0.12170818505338078,123.40583454602137,0.16853932584269662,9.486832980505138,0.7142857142857143,0.0,0.6901408450704225,2.23606797749979,0.22950819672131148,9.219544457292887,0.21428571428571427,6.0,0.8947368421052632,0.0,0.5897435897435898,0.0,0.0,39.96248240537617,0.47540983606557374,17.11724276862369,0.0028790786948176585,114.49017425089369,0.10350050488051162,64.53681120105021,0.2147239263803681,49.678969393496885,0.0,265.5447231635379,0.183206106870229,15.033296378372908,0.5268817204301075,42.05948168962618,0.0,26.92582403567252,0.10334498252621069,68.8839603971781,0.2664756446991404,22.47220505424423,0.7373974208675264,4.123105625617661
0.0,62.36184731067546,0.14853931196343648,37.8549864614954,0.19681908548707752,78.587530817554,0.04459882271835393,53.74011537017761,0.05025538124771981,33.28663395418648,0.13076923076923078,13.92838827718412,0.3118279569892473,13.45362404707371,0.09580838323353294,40.607881008493905,0.0,64.5600495662759,0.09874326750448834,21.2602916254693,0.0,0.0,0.14073016520497655,29.410882339705484,0.06860254083484574,69.1158447825099,0.00861812778603269,30.01666203960727,0.0,0.0,0.1263537906137184,11.40175425099138,0.7142857142857143,1.0,0.5728813559322034,3.1622776601683795,0.12149532710280374,12.206555615733702,0.11627906976744186,8.246211251235321,0.84472049689441,1.0,0.55,2.23606797749979,0.0,33.83784863137726,0.47540983606557374,17.26267650163207,0.0,0.0,0.07809930943768498,70.2922470831599,0.0,110.13627921806692,0.0,0.0,0.183206106870229,15.033296378372908,0.5268817204301075,40.311288741492746,0.0,26.832815729997478,0.11927618723982669,67.26812023536856,0.21262002743484226,25.298221281347036,0.6393805309734514,5.656854249492381
0.0,52.009614495783374,0.011846001974333662,81.40024569987489,0.20191246781905112,74.33034373659252,0.024336973478939157,63.89053137985315,0.04866180048661801,34.132096331752024,0.1399197592778335,12.165525060596439,0.34454756380510443,5.385164807134504,0.23648648648648649,24.73863375370596,0.0,68.46897107449476,0.1826086956521739,15.811388300841896,0.0,0.0,0.09027777777777778,36.61966684720111,0.05464440954085546,70.25667228100119,0.0,35.014282800023196,0.0,0.0,0.1263537906137184,11.40175425099138,0.7142857142857143,1.0,0.5728813559322034,3.1622776601683795,0.12149532710280374,12.206555615733702,0.11627906976744186,8.246211251235321,0.84472049689441,1.0,0.5897435897435898,3.1622776601683795,0.0,33.24154027718932,0.47540983606557374,17.08800749063506,0.0,0.0,0.0680892653526633,72.62231062146122,0.0,0.0,0.0,0.0,0.14138438880706922,17.029386365926403,0.5268817204301075,36.71511950137164,0.0,26.832815729997478,0.13324104516352311,65.37583651472461,0.48322147651006714,13.892443989449804,0.5808,7.0710678118654755
0.0,72.56721022610694,0.13655761024182078,37.48332962798263,0.16204409224829827,81.15417426109393,0.029637760702524697,60.959002616512684,0.05685920577617329,32.202484376209235,0.13339872486512996,13.601470508735444,0.3287474921180854,7.0710678118654755,0.12105107764983762,72.44308110509934,0.0,69.35416353759881,0.1826086956521739,18.027756377319946,0.0,0.0,0.0735632183908046,39.408120990476064,0.04184957565115598,71.25307010929424,0.0,37.013511046643494,0.0,0.0,0.10638297872340426,12.36931687685298,0.7142857142857143,1.0,0.5728813559322034,3.1622776601683795,0.12149532710280374,12.206555615733702,0.11627906976744186,8.246211251235321,0.3170731707317073,7.0710678118654755,0.5691788526434196,3.1622776601683795,0.0,33.24154027718932,0.47540983606557374,16.492422502470642,0.0,0.0,0.06117494740249231,74.65252842335616,0.0,0.0,0.0,0.0,0.12156295224312591,18.027756377319946,0.5268817204301075,32.449961479175904,0.011494252873563218,25.942243542145693,0.15932023366967604,61.66036003787198,0.21875,25.019992006393608,0.5918367346938775,9.055385138137417
0.0,113.50770898930169,0.28904758537792546,21.095023109728988,0.14804777677406403,82.29216244576394,0.06360691144708423,46.22769732530488,0.03536693191865606,39.20459156782532,0.17022844509948415,9.0,0.35555555555555557,10.816653826391969,0.09580838323353294,76.4198926981712,0.0,69.58448102845921,0.0,67.4166151627327,0.0,0.0,0.05895691609977324,41.677331968349414,0.028513538404862773,72.44308110509934,0.0,41.012193308819754,0.0,0.0,0.10638297872340426,12.36931687685298,0.7142857142857143,1.0,0.5064935064935064,4.123105625617661,0.1320754716981132,11.661903789690601,0.14285714285714285,8.0,0.3170731707317073,7.0710678118654755,0.5897435897435898,3.605551275463989,0.0,32.7566787083184,0.4793388429752066,16.76305461424021,0.0,0.0,0.06341226078494973,75.0,0.0,0.0,0.0,0.0,0.2520193861066236,12.041594578792296,0.5268817204301075,22.847319317591726,0.0,34.713109915419565,0.177787892580792,57.584720195551874,0.29239766081871343,21.02379604162864,0.625,8.0
0.0,0.0,0.16164207825529187,40.024992192379,0.20361990950226244,48.02082881417188,0.050279925353239135,51.10772935672255,0.0020623872131992783,60.30754513325841,0.07243460764587525,18.973665961010276,0.40229885057471265,7.615773105863909,0.1347878063359235,70.45565981523414,0.0,70.45565981523414,0.006785934608266502,65.86349520030045,0.0,0.0,0.0581570996978852,41.593268686170845,0.01568555083963831,73.55270219373317,0.0,44.04543109109048,0.0,0.0,0.10638297872340426,12.36931687685298,0.7142857142857143,1.0,0.5064935064935064,4.123105625617661,0.1320754716981132,11.661903789690601,0.14285714285714285,8.0,0.3170731707317073,7.0710678118654755,0.55,1.4142135623730951,0.005988023952095809,32.89376840679705,0.47540983606557374,15.524174696260024,0.0,0.0,0.072895361204287,72.47068372797375,0.0,0.0,0.0,0.0,0.016666666666666666,24.08318915758459,0.525,33.52610922848042,0.0,34.655446902326915,0.2469159599074788,48.30113870293329,0.15706806282722513,28.30194339616981,0.6458333333333334,7.0
0.0,0.0,0.0,116.18089343777659,0.17180616740088106,54.20332093147061,0.0469862868076964,52.630789467763066,0.007525870178739417,55.154328932550705,0.07628233231039018,18.681541692269406,0.34065934065934067,15.652475842498529,0.15603592632059674,71.16881339463234,0.0,70.45565981523414,0.0014317856412354264,70.32780389006896,0.0,0.0,0.0,51.264022471905186,0.0031248837468844165,74.67261881037788,0.0,48.041648597857254,0.0,0.0,0.10638297872340426,12.36931687685298,0.7142857142857143,1.0,0.5064935064935064,4.123105625617661,0.1320754716981132,11.661903789690601,0.12941176470588237,8.06225774829855,0.3170731707317073,7.0710678118654755,0.5691788526434196,2.0,0.012048192771084338,39.05124837953327,0.47540983606557374,16.15549442140351,0.0,0.0,0.05341794521648325,77.6659513557904,0.0,0.0,0.0,0.0,0.0,25.709920264364882,0.525,31.622776601683793,0.0,50.53711507397311,0.2001492955118037,53.33854141237835,0.3,21.213203435596427,0.24328859060402686,20.12461179749811
0.0,0.0,0.0,0.0,0.1615720524017467,55.94640292279746,0.05269345874305258,50.32891812864648,0.006796941376380629,56.586217403180434,0.09120521172638436,16.55294535724685,0.3707865168539326,15.811388300841896,0.14886535552193647,69.63476143421474,0.0,71.25307010929424,0.0,98.43271813782245,0.0,0.0,0.0,56.515484603779164,0.0,75.66372975210778,0.0,48.041648597857254,0.0,0.0,0.09859154929577464,12.649110640673518,0.25654450261780104,5.830951894845301,0.1836734693877551,10.770329614269007,0.10294117647058823,12.529964086141668,0.12941176470588237,8.06225774829855,0.3170731707317073,7.0710678118654755,0.5897435897435898,2.23606797749979,0.006741573033707865,82.21921916437786,0.47540983606557374,15.231546211727817,0.0,0.0,0.04170307411232028,80.99382692526635,0.0,0.0,0.0,0.0,0.0,26.68332812825267,0.525,31.622776601683793,0.0,71.386273190299,0.21546021546021546,51.894122981316485,0.2289156626506024,23.853720883753127,0.2544922691182616,19.235384061671343
0.0,0.0,0.0,0.0,0.12236286919831224,63.071388124885914,0.04134066398815817,55.0,0.006625891946992864,55.90169943749474,0.06696888522563363,20.248456731316587,0.38636363636363635,17.46424919657298,0.04029403757146747,84.09518416651456,0.0,71.17583859709698,0.0,100.30453628824571,0.0,0.0,0.0,65.27633568147036,0.0,76.94153624668537,0.016666666666666666,42.1070065428546,0.0,0.0,0.09859154929577464,12.649110640673518,0.25654450261780104,5.830951894845301,0.1836734693877551,10.770329614269007,0.10294117647058823,12.529964086141668,0.12941176470588237,8.06225774829855,0.3170731707317073,7.0710678118654755,0.5691788526434196,2.8284271247461903,0.0,103.94229168149026,0.4793388429752066,17.46424919657298,0.0,0.0,0.044607296479209815,80.15609770940699,0.0,0.0,0.0,0.0,0.0,30.675723300355934,0.525,28.160255680657446,0.0,71.58910531638176,0.26129256428075054,45.48626166217664,0.2786885245901639,22.0,0.3961375412152614,12.727922061357855
