"uav0000070_02088_s (AOS=0.27371640644354767, TL=0)",,"uav0000070_04877_s (AOS=0.0009519945065235034, TL=332)",,"uav0000071_00816_s (AOS=0.04608797818204678, TL=0)",,"uav0000071_01536_s (AOS=0.0, TL=481)",,"uav0000071_02520_s (AOS=0.003333795641959053, TL=5)",,"uav0000072_02544_s (AOS=0.033941011400761376, TL=0)",,"uav0000072_03792_s (AOS=0.1481085927769312, TL=19)",,"uav0000072_04680_s (AOS=0.07500860218300165, TL=0)",,"uav0000072_06672_s (AOS=0.09903617546793729, TL=11)",,"uav0000072_08448_s (AOS=0.01400328407224959, TL=4)",,"uav0000076_00241_s (AOS=0.0005181472130345837, TL=0)",,"uav0000080_01680_s (AOS=0.07407300734226718, TL=53)",,"uav0000084_00000_s (AOS=0.019257959318105873, TL=0)",,"uav0000084_00812_s (AOS=0.02556726241011286, TL=0)",,"uav0000085_00000_s (AOS=0.011764819619997233, TL=0)",,"uav0000089_00920_s (AOS=0.02618883504693053, TL=76)",,"uav0000090_00276_s (AOS=0.010327022375215145, TL=415)",,"uav0000090_01104_s (AOS=0.003301224082674438, TL=737)",,"uav0000091_00460_s (AOS=0.0, TL=231)",,"uav0000091_01035_s (AOS=0.020845085532250292, TL=208)",,"uav0000091_01288_s (AOS=0.0, TL=783)",,"uav0000091_02530_s (AOS=0.0, TL=231)",,"uav0000099_02520_s (AOS=0.040566775091875444, TL=1)",,"uav0000107_01763_s (AOS=0.2426463868765306, TL=3)",,"uav0000126_07915_s (AOS=0.001368006160425495, TL=0)",,"uav0000144_01980_s (AOS=0.04650990949135123, TL=0)",,"uav0000144_03200_s (AOS=0.018801603357334527, TL=3)",,"uav0000147_00000_s (AOS=0.0016942505157739906, TL=0)",,"uav0000148_00840_s (AOS=0.39313683163051066, TL=168)",,"uav0000149_00317_s (AOS=0.009860430372998562, TL=0)",,"uav0000159_00000_s (AOS=0.10484633173303332, TL=37)",,"uav0000160_00000_s (AOS=0.12362102784345494, TL=4)",,"uav0000169_00000_s (AOS=0.261297509092218, TL=242)",,"uav0000170_00000_s (AOS=0.04472906713042721, TL=98)",
IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors,IoUs,Center Errors
0.2894736842105263,31.016124838541646,0.3160621761658031,13.341664064126334,0.37823834196891193,29.068883707497267,0.0,0.0,0.15643128625725145,13.038404810405298,0.25862068965517243,24.331050121192877,0.4186046511627907,7.280109889280518,0.2689655172413793,22.090722034374522,0.11428571428571428,13.152946437965905,0.36,9.219544457292887,0.27336860670194,76.4198926981712,0.6,10.198039027185569,0.415929203539823,23.706539182259394,0.13989637305699482,36.124783736376884,0.2982526210683974,33.12099032335839,0.5294117647058824,6.324555320336759,0.7142857142857143,2.23606797749979,0.610738255033557,2.23606797749979,0.0,0.0,0.36,3.605551275463989,0.0,0.0,0.0,0.0,0.21739130434782608,18.110770276274835,0.3228585909782058,10.816653826391969,0.30659025787965616,37.12142238654117,0.4338508637655806,22.67156809750927,0.8367346938775511,6.082762530298219,0.3454626732230666,90.6697303403953,0.631578947368421,1.0,0.3394507186858316,33.24154027718932,0.2753623188405797,9.433981132056603,0.6419019316493314,8.48528137423857,0.625,5.0,0.8571428571428571,3.0
0.2894736842105263,45.17742799230607,0.0,0.0,0.3434343434343434,34.132096331752024,0.0,0.0,0.18932038834951456,8.06225774829855,0.2564102564102564,18.681541692269406,0.4186046511627907,6.324555320336759,0.2887323943661972,21.0,0.09859154929577464,15.132745950421556,0.36,8.246211251235321,0.24621998583258017,91.96738552334735,0.5866666666666667,9.486832980505138,0.40324118207816967,51.03920062069938,0.14584740040513167,41.10960958218893,0.3204097674772422,27.459060435491963,0.5294117647058824,4.0,0.7142857142857143,1.4142135623730951,0.6453900709219859,1.4142135623730951,0.0,0.0,0.391304347826087,5.0,0.0,0.0,0.0,0.0,0.1506849315068493,30.675723300355934,0.37730870712401055,6.708203932499369,0.3188405797101449,92.0869154657707,0.5312937879495563,16.64331697709324,0.7142857142857143,13.038404810405298,0.49011503411184704,34.88552708502482,0.5121951219512195,4.47213595499958,0.2371977240398293,60.67124524847005,0.29411764705882354,8.94427190999916,0.5904152583293095,11.704699910719626,0.5294117647058824,7.0710678118654755,0.7373974208675264,5.385164807134504
0.2894736842105263,49.658836071740545,0.0,0.0,0.24299065420560748,45.34313619501854,0.0,0.0,0.19415084658799384,5.656854249492381,0.2571902654867257,13.92838827718412,0.28349944629014395,8.48528137423857,0.27972027972027974,17.029386365926403,0.1386861313868613,10.770329614269007,0.36,15.033296378372908,0.28872105979943047,101.13357503816425,0.6185567010309279,11.180339887498949,0.3124090909090909,44.598206241955516,0.13182552504038772,55.326304774492215,0.4025332760841563,13.0,0.4857142857142857,3.1622776601683795,0.7142857142857143,2.23606797749979,0.5728813559322034,2.23606797749979,0.0,0.0,0.6,4.0,0.0,0.0,0.0,0.0,0.19148936170212766,18.681541692269406,0.47540983606557374,12.0,0.23641304347826086,141.69333082400175,0.7332804652392281,6.708203932499369,0.5924399316376797,18.384776310850235,0.5826040696901184,36.61966684720111,0.5121951219512195,4.47213595499958,0.32298136645962733,43.01162633521314,0.38095238095238093,8.0,0.5959546728402583,11.704699910719626,0.4319654427645788,9.219544457292887,0.7759137207908927,4.47213595499958
0.2894736842105263,47.70744176750625,0.0,0.0,0.17180616740088106,53.71219600798314,0.0,0.0,0.18907392363931763,10.295630140987,0.2621518296013108,14.560219778561036,0.34454756380510443,5.385164807134504,0.29325613079019075,14.317821063276353,0.1223021582733813,12.36931687685298,0.36,17.029386365926403,0.0,0.0,0.6501766784452296,12.041594578792296,0.3241584526687744,19.4164878389476,0.1431297709923664,73.17103251970687,0.41031861555879023,19.79898987322333,0.4857142857142857,2.23606797749979,0.7142857142857143,2.23606797749979,0.5728813559322034,2.23606797749979,0.0,0.0,0.391304347826087,5.0,0.0,0.0,0.0,0.0,0.18309859154929578,10.0,0.45161290322580644,25.079872407968907,0.0,0.0,0.6938775510204082,11.045361017187261,0.48523206751054854,24.20743687382041,0.5848910489211707,54.817880294662984,0.55,3.1622776601683795,0.21367521367521367,76.55063683601855,0.31343283582089554,8.54400374531753,0.6659882981429661,10.198039027185569,0.35860655737704916,10.816653826391969,0.7005163511187608,6.082762530298219
0.2894736842105263,45.17742799230607,0.0,0.0,0.1875,55.60575509783138,0.0,0.0,0.18318682429018895,10.198039027185569,0.26232114467408585,13.92838827718412,0.4523809523809524,8.602325267042627,0.2887323943661972,14.866068747318506,0.13043478260869565,13.038404810405298,0.29523809523809524,20.615528128088304,0.0,0.0,0.6738351254480287,7.280109889280518,0.23240928754303875,51.03920062069938,0.11978221415607986,77.23341245859851,0.460457334076966,16.278820596099706,0.5294117647058824,3.0,0.7142857142857143,2.23606797749979,0.03111111111111111,13.038404810405298,0.0,0.0,0.45454545454545453,4.47213595499958,0.0,0.0,0.0,0.0,0.20863309352517986,10.44030650891055,0.4793388429752066,16.15549442140351,0.0,0.0,0.5406484962406015,20.024984394500787,0.5126050420168067,27.073972741361768,0.5862663720153075,56.22277118748239,0.47619047619047616,5.830951894845301,0.2716417910447761,73.10950690573696,0.3181818181818182,9.486832980505138,0.38819742489270387,30.0,0.3943217665615142,9.848857801796104,0.8161764705882353,2.8284271247461903
0.2936814001779887,39.56008088970496,0.0,0.0,0.22018348623853212,48.41487374764082,0.0,0.0,0.08646231249417684,24.758836806279895,0.26004728132387706,5.830951894845301,0.4523809523809524,8.06225774829855,0.29325613079019075,13.92838827718412,0.16417910447761194,9.899494936611665,0.29523809523809524,15.811388300841896,0.0,0.0,0.6048109965635738,6.708203932499369,0.23874684911775296,52.839379254491625,0.1538577003902732,53.23532661682466,0.41701669359181476,17.029386365926403,0.5294117647058824,3.1622776601683795,0.7142857142857143,2.23606797749979,0.0,17.08800749063506,0.0,0.0,0.45454545454545453,4.47213595499958,0.0,0.0,0.0,0.0,0.22627737226277372,8.06225774829855,0.47540983606557374,21.18962010041709,0.0,0.0,0.5430050594187551,18.439088914585774,0.7198697068403909,10.44030650891055,0.4541963795940757,90.50966799187809,0.525,4.47213595499958,0.3018292682926829,74.51845409024533,0.35384615384615387,9.055385138137417,0.35789252728799326,32.526911934581186,0.43661971830985913,8.54400374531753,0.8383343539497856,2.23606797749979
0.2894736842105263,39.0,0.0,0.0,0.1615720524017467,57.982756057296896,0.0,0.0,0.0851063829787234,26.248809496813376,0.2622107969151671,6.4031242374328485,0.4186046511627907,6.324555320336759,0.29325613079019075,14.317821063276353,0.09859154929577464,16.15549442140351,0.0,0.0,0.0,0.0,0.5345877144438296,14.866068747318506,0.21655763591247462,54.08326913195984,0.19512932990470427,59.0,0.4523612261806131,29.068883707497267,0.5294117647058824,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16363636363636364,6.708203932499369,0.0,0.0,0.0,0.0,0.23529411764705882,8.0,0.47540983606557374,10.44030650891055,0.0,0.0,0.595765393039669,15.556349186104045,0.6087751371115173,15.652475842498529,0.456270337922403,91.58602513484249,0.4418604651162791,6.324555320336759,0.2746268656716418,70.43436661176133,0.3384615384615385,9.219544457292887,0.43293226381461675,26.90724809414742,0.4258064516129032,11.661903789690601,0.95,1.0
0.2936814001779887,36.87817782917155,0.0,0.0,0.15151515151515152,59.16924876994806,0.0,0.0,0.04184983295234746,37.8021163428716,0.2641509433962264,7.0710678118654755,0.40229885057471265,9.486832980505138,0.29325613079019075,28.071337695236398,0.10638297872340426,15.231546211727817,0.0,0.0,0.0,0.0,0.5975750577367206,10.198039027185569,0.2637990102778835,27.80287754891569,0.20089285714285715,64.03124237432849,0.26361853747190206,34.40930106817051,0.5294117647058824,6.082762530298219,0.0,0.0,0.0,0.0,0.0,0.0,0.16363636363636364,6.708203932499369,0.0,0.0,0.0,0.0,0.23529411764705882,24.08318915758459,0.45161290322580644,2.8284271247461903,0.0,0.0,0.4468225948808473,26.248809496813376,0.5022163538621145,21.400934559032695,0.2631244800560445,125.2078272313676,0.5121951219512195,4.47213595499958,0.3685897435897436,71.55417527999327,0.3333333333333333,7.280109889280518,0.44565583904686973,26.248809496813376,0.389937106918239,12.806248474865697,0.8372093023255814,2.0
0.2936814001779887,43.93176527297759,0.0,0.0,0.18222222222222223,60.207972893961475,0.0,0.0,0.04368504491809054,36.89173349139343,0.2635431918008785,7.810249675906654,0.38636363636363635,9.848857801796104,0.29988093213131484,28.635642126552707,0.1386861313868613,11.661903789690601,0.0,0.0,0.0,0.0,0.6190754827384435,12.041594578792296,0.24836820886926472,45.18849411078001,0.13664596273291926,77.0,0.3823129607361322,19.849433241279208,0.5294117647058824,8.246211251235321,0.0,0.0,0.0,0.0,0.0,0.0,0.16363636363636364,6.708203932499369,0.0,0.0,0.0,0.0,0.23799864773495605,26.476404589747453,0.4793388429752066,5.0,0.0,0.0,0.509090909090909,23.194827009486403,0.3123446561723281,37.8021163428716,0.0,0.0,0.37777777777777777,10.0,0.32608695652173914,60.8276253029822,0.32878492527615333,10.198039027185569,0.31917765548748833,36.796738985948195,0.5,8.246211251235321,0.8571428571428571,3.1622776601683795
0.2936814001779887,41.43669871020132,0.0,0.0,0.17180616740088106,56.859475903318,0.0,0.0,0.029850746268656716,40.162171256046406,0.2612481857764877,20.396078054371138,0.32608695652173914,10.0,0.30431848852901483,19.849433241279208,0.1386861313868613,12.206555615733702,0.0,0.0,0.0,0.0,0.6211453744493393,10.44030650891055,0.22793553338449732,48.30113870293329,0.07790463398253862,90.00555538409837,0.3899779851137436,16.97056274847714,0.43312101910828027,9.219544457292887,0.0,0.0,0.0,0.0,0.0,0.0,0.16363636363636364,6.708203932499369,0.0,0.0,0.0,0.0,0.23978201634877383,26.30589287593181,0.42857142857142855,4.47213595499958,0.0,0.0,0.7473684210526316,12.0,0.20437956204379562,51.22499389946279,0.0,0.0,0.4418604651162791,6.708203932499369,0.3098159509202454,70.9365914038728,0.37551020408163266,10.0,0.3290539829527518,36.069377593742864,0.5,8.246211251235321,0.95,1.4142135623730951
0.2936814001779887,40.44749683231337,0.0,0.0,0.15151515151515152,65.43699259593154,0.0,0.0,0.004382638010956595,46.52956049652737,0.2612481857764877,18.973665961010276,0.25602817664589544,11.40175425099138,0.30868328592939603,23.259406699226016,0.09090909090909091,19.4164878389476,0.0,0.0,0.0,0.0,0.6096698113207547,8.54400374531753,0.27179981727743374,25.632011235952593,0.09090909090909091,88.0,0.326445459964236,27.202941017470888,0.5142857142857142,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16363636363636364,6.708203932499369,0.0,0.0,0.0,0.0,0.23529411764705882,23.53720459187964,0.47540983606557374,6.324555320336759,0.0,0.0,0.4177297297297297,30.4138126514911,0.22372464658881377,48.16637831516918,0.0,0.0,0.28259041211101765,9.848857801796104,0.38369914346895073,76.21679604916491,0.32878492527615333,11.180339887498949,0.3972784600066379,30.4138126514911,0.5918367346938775,5.830951894845301,0.926829268292683,2.23606797749979
0.2936814001779887,41.78516483155236,0.0,0.0,0.20909090909090908,50.60632371551998,0.0,0.0,0.0,52.20153254455275,0.2612481857764877,15.524174696260024,0.2652838427947598,11.180339887498949,0.31297709923664124,21.02379604162864,0.061224489795918366,22.360679774997898,0.0,0.0,0.0,0.0,0.5618615209988649,12.165525060596439,0.25842522931052253,20.12461179749811,0.07304682136482218,91.02197536858887,0.3913898375245783,26.0,0.4757433489827856,6.324555320336759,0.0,0.0,0.0,0.0,0.0,0.0,0.16363636363636364,6.708203932499369,0.0,0.0,0.0,0.0,0.23529411764705882,29.068883707497267,0.48142937535171637,6.708203932499369,0.0,0.0,0.4613327390238467,26.92582403567252,0.19043348281016442,53.075418038862395,0.0,0.0,0.4878048780487805,7.0710678118654755,0.322884012539185,68.8839603971781,0.3543201607501674,10.04987562112089,0.3409286328460877,35.38361202590826,0.4166666666666667,8.94427190999916,0.7034482758620689,5.385164807134504
0.2936814001779887,38.600518131237564,0.0,0.0,0.20361990950226244,47.01063709417264,0.0,0.0,0.0,53.75872022286245,0.2612481857764877,20.8806130178211,0.27467693153698103,11.045361017187261,0.31720164609053497,25.942243542145693,0.09859154929577464,17.4928556845359,0.0,0.0,0.0,0.0,0.5618615209988649,15.132745950421556,0.29754536871918597,16.0312195418814,0.08898305084745763,89.0,0.3194295203672951,23.345235059857504,0.4783216783216783,5.0990195135927845,0.0,0.0,0.0,0.0,0.0,0.0,0.16981132075471697,6.708203932499369,0.0,0.0,0.0,0.0,0.23529411764705882,26.019223662515376,0.48545893034472976,9.486832980505138,0.0,0.0,0.46465100595706416,30.066592756745816,0.09181141439205956,72.83543093852057,0.0,0.0,0.47619047619047616,6.4031242374328485,0.2522255192878338,76.60939890117922,0.3697253851306095,9.0,0.47749881572714353,25.553864678361276,0.5294117647058824,7.615773105863909,0.6855699045480067,7.280109889280518
