Video,Runtime,Iterations
uav0000070_02088_s,8.797348976135254,216
uav0000070_04877_s,0.06675219535827637,1
uav0000071_00816_s,7.082801342010498,162
uav0000071_01536_s,0.0,0
uav0000071_02520_s,1.603083848953247,36
uav0000072_02544_s,4.634441375732422,112
uav0000072_03792_s,11.886963367462158,288
uav0000072_04680_s,3.2572414875030518,73
uav0000072_06672_s,4.842675447463989,113
uav0000072_08448_s,0.27530980110168457,6
uav0000076_00241_s,0.26329541206359863,3
uav0000080_01680_s,6.577165365219116,151
uav0000084_00000_s,1.4584312438964844,47
uav0000084_00812_s,1.7718346118927002,69
uav0000085_00000_s,2.0247628688812256,49
uav0000089_00920_s,3.65397310256958,94
uav0000090_00276_s,0.21212530136108398,6
uav0000090_01104_s,0.15326261520385742,6
uav0000091_00460_s,0.0,0
uav0000091_01035_s,0.5095407962799072,15
uav0000091_01288_s,0.0,0
uav0000091_02530_s,0.0,0
uav0000099_02520_s,5.337815046310425,223
uav0000107_01763_s,5.017588138580322,196
uav0000126_07915_s,0.32660460472106934,3
uav0000144_01980_s,2.3824188709259033,29
uav0000144_03200_s,2.3548216819763184,29
uav0000147_00000_s,0.8168723583221436,8
uav0000148_00840_s,67.73104310035706,806
uav0000149_00317_s,6.973213195800781,73
uav0000159_00000_s,9.590974569320679,400
uav0000160_00000_s,14.62226128578186,550
uav0000169_00000_s,16.495666980743408,623
uav0000170_00000_s,3.780057191848755,150
